year,site,rep,species,c,n,p,CN,CP,NP,bsi,sla
2023,BUR,8,CAR,46.81950771,3.152597319,0.285482795,14.85109038,164.0011535,11.04303787,0.515487,13.68565407
2023,BUR,9,CAR,48.31158374,3.328139349,0.377609451,14.51609403,127.9406106,8.813707762,0.368287,14.7878165
2023,BUR,10,CAR,47.94110221,2.512048627,0.397205334,19.08446424,120.6960182,6.324307389,0.370267,15.35530303
2023,BUR,1,PET,44.70823553,2.411851129,0.266964624,18.53689682,167.4687637,9.034347296,0.129991,13.32363465
2023,BUR,2,PET,45.84054176,2.347894066,0.157335428,19.52410989,291.3554966,14.92285683,0.10448,14.36176935
2023,BUR,3,PET,45.65457841,2.884816574,0.261603965,15.82581674,174.5179145,11.02741915,0.090546,10.79482814
2023,BUR,4,PET,47.32574101,3.118346683,0.251339746,15.17654893,188.2939001,12.40689836,0.130303,12.82130689
2023,BUR,5,PET,45.05052363,2.795264237,0.212506077,16.11673166,211.9964015,13.15380847,0.157281,10.83385903
2023,BUR,6,PET,43.55719182,2.252119552,0.275258464,19.34053269,158.2410628,8.181835801,0.108326,15.6016537
2023,BUR,7,PET,46.8431402,3.284069911,0.364989756,14.26374635,128.3409724,8.997704338,0.114939,15.96236061
2023,BUR,8,PET,44.57277543,2.884743613,0.383721841,15.45120864,116.1590785,7.51779885,0.090166,12.4209272
2023,BUR,9,PET,46.23151484,3.773759231,0.32692265,12.25078549,141.4142301,11.5432786,0.14652,13.15964122
2023,BUR,10,PET,43.98968098,2.072651085,0.324335848,21.22387183,135.6300306,6.390447117,0.113442,14.13750521
2023,CON,1,CAR,48.30016745,3.554092743,0.260151968,13.59001324,185.6613572,13.66160237,0.279544,13.66774532
2023,CON,2,CAR,48.0130256,2.813301002,0.304955737,17.06643746,157.4426049,9.225276525,0.417335,11.345882
2023,CON,3,CAR,48.45349553,3.524912387,0.33328247,13.74601415,145.3826705,10.57635101,0.473731,13.7922619
2023,CON,4,CAR,47.70123935,2.383863316,0.229436413,20.01005637,207.9061415,10.39008275,0.468189,12.35288315
2023,CON,5,CAR,48.33140525,2.510963581,0.24426411,19.24815064,197.8653568,10.27970742,0.460419,11.66887454
2023,CON,6,CAR,48.081313,2.919570891,0.297803806,16.46862323,161.4529837,9.803672198,0.547047,12.07311762
2023,CON,7,CAR,47.24057684,2.896127719,0.33001826,16.31163451,143.1453423,8.775659007,0.339169,7.740906868
2023,CON,8,CAR,48.56059733,3.527356044,0.382408496,13.76685447,126.9861884,9.224052501,0.547047,13.25180712
2023,CON,9,CAR,48.33613422,2.959416744,0.338747184,16.33299343,142.6908814,8.736358223,0.368472,11.27809582
2023,CON,10,CAR,49.31795827,3.255975658,0.350066032,15.14690632,140.881873,9.301032834,0.367453,12.51423026
2023,CON,1,PET,47.27823397,3.124796519,0.4642845,15.13002004,101.8303087,6.730348567,0.117181,15.31718954
2023,CON,2,PET,45.14583416,2.617135268,0.320319084,17.25009583,140.940195,8.170400699,0.100821,11.62780829
2023,CON,3,PET,45.19453483,2.056230714,0.227336445,21.97931123,198.800218,9.044879339,0.091649,14.61092191
2023,CON,4,PET,45.44874216,2.68219269,0.187042183,16.94462233,242.9865894,14.34004161,0.09509,11.47873323
2023,CON,5,PET,44.14878258,2.794267992,0.227996735,15.79976677,193.6377843,12.25573688,0.113688,10.40758842
2023,CON,6,PET,47.56881704,2.617811968,0.385481734,18.1712123,123.4009625,6.791014299,0.116468,14.15092372
2023,CON,7,PET,45.08473297,2.579931944,0.307883199,17.47516367,146.4345346,8.379580153,0.065646,11.69948817
2023,CON,8,PET,43.69143167,2.585909468,0.370992815,16.89596338,117.7689428,6.970241364,0.115703,10.14378944
2023,CON,9,PET,46.1606091,2.847299689,0.181780314,16.21206551,253.9362381,15.66341056,0.101313,10.05389639
2023,CON,10,PET,44.39108135,2.101256794,0.336734018,21.12596684,131.8283245,6.240108465,0.114561,10.86751765
2023,HAY,1,CAR,47.70576237,3.278023402,0.326566978,14.55320982,146.0826282,10.03782877,0.290776,15.66194987
2023,HAY,2,CAR,48.33203636,3.182445606,0.365093795,15.18707383,132.3825193,8.716789081,0.495309,19.26250283
2023,HAY,3,CAR,44.39890412,3.101268407,0.336662833,14.3163694,131.8794348,9.21179324,0.096854,16.68848101
2023,HAY,4,CAR,47.26249232,2.748663176,0.292467316,17.1947195,161.5992274,9.398189217,0.477786,12.23382635
2023,HAY,5,CAR,48.81945201,2.859051132,0.299593907,17.0754036,162.9520857,9.543088379,0.401051,15.81802721
2023,HAY,6,CAR,49.43891318,3.360185456,0.436565198,14.71315016,113.2452,7.69686972,0.372987,20.38862363
2023,HAY,7,CAR,46.93903098,2.957734585,0.371284425,15.86992667,126.4233774,7.966223158,0.514449,19.73148378
2023,HAY,8,CAR,47.53454937,3.155624499,0.230138755,15.06343653,206.5473475,13.71183441,0.504967,17.76975656
2023,HAY,9,CAR,45.38830898,3.067501718,0.373105782,14.79650646,121.6499747,8.221533579,0.45464,9.829688254
2023,HAY,10,CAR,48.10156031,2.902065419,0.330144116,16.57494004,145.6986751,8.790298777,0.456476,15.22488024
2023,HAY,1,PET,43.74985971,2.457559764,0.631486134,17.80215495,69.28079231,3.891708196,0.093494,NA
2023,HAY,2,PET,46.72109765,2.72841106,0.343086396,17.12392181,136.1788115,7.952548079,0.113442,16.72456264
2023,HAY,3,PET,47.72882998,2.924872932,0.363802133,16.31825761,131.1944753,8.039735518,0.478806,16.37152334
2023,HAY,4,PET,44.78549217,2.454859377,0.37665267,18.243608,118.903955,6.517567962,0.154201,17.56787669
2023,HAY,5,PET,43.49656858,2.128407044,0.290757849,20.43620777,149.5972292,7.320204945,0.084704,12.89307716
2023,HAY,6,PET,44.0984243,2.325502392,0.39544539,18.96296665,111.5158385,5.880716905,0.107711,14.28832872
2023,HAY,7,PET,45.05338143,2.657755636,0.39741017,16.95166434,113.3674597,6.687689034,0.122621,15.25640365
2023,HAY,9,PET,48.20799532,2.921766721,0.396159345,16.49960449,121.6883962,7.375231099,0.096854,12.85098088
2023,HAY,10,PET,46.84414266,2.939959917,0.428100282,15.93359909,109.4232931,6.867456149,0.117986,11.14688739
2023,LAT,1,CAR,48.64043984,3.395572903,NA,14.32466368,NA,NA,0.551888,17.93292566
2023,LAT,2,CAR,48.04674653,3.947146193,0.334447297,12.17252774,143.6601431,11.80199759,0.723235,16.56820272
2023,LAT,3,CAR,47.92042119,3.066698493,0.354709829,15.62606213,135.0975284,8.645654117,0.75964,19.0724193
2023,LAT,4,CAR,48.37637664,3.291977845,0.338367934,14.69523153,142.9697432,9.728988816,0.490707,14.11159832
2023,LAT,5,CAR,47.37108742,3.110526633,0.342788028,15.22928205,138.1935294,9.074198569,0.436808,13.1727102
2023,LAT,6,CAR,48.1091605,3.275670696,0.366294382,14.68681225,131.3401541,8.942727111,0.603661,12.18488784
2023,LAT,7,CAR,47.84701805,3.85956711,0.471271269,12.39699083,101.5275516,8.189693208,1.160886,12.37887569
2023,LAT,9,CAR,47.39489447,2.948593629,0.312537116,16.07372884,151.6456512,9.434379082,0.489393,10.84756428
2023,LAT,10,CAR,48.93545601,3.454756225,0.310007883,14.16466252,157.8522957,11.14409154,0.714329,13.62944444
2023,LAT,1,PET,45.41091756,3.496859675,0.402257647,12.98619955,112.8901287,8.693084397,0.110888,16.4465136
2023,LAT,2,PET,46.58436208,3.130295781,0.530634452,14.88177647,87.78993122,5.899156691,0.164166,19.47245704
2023,LAT,3,PET,46.50725153,3.505102706,0.310643293,13.26844188,149.7127174,11.28336837,0.130855,19.25072665
2023,LAT,4,PET,44.53904324,3.225381029,0.37850613,13.80892454,117.6705996,8.52134424,0.116845,13.13694871
2023,LAT,5,PET,NA,NA,0.271965571,NA,NA,NA,0.090166,17.47761925
2023,LAT,6,PET,46.87573362,3.165470942,0.276213165,14.80845488,169.7085421,11.46024642,0.1613,16.74545962
2023,LAT,7,PET,44.08953923,3.710259041,0.255476296,11.88314313,172.5778081,14.52290915,0.117261,22.8948062
2023,LAT,8,PET,45.0533764,3.092759217,0.338228331,14.56737277,133.204029,9.143998104,0.142071,15.88879919
2023,LAT,9,PET,46.18356133,3.11263655,0.268121487,14.83744105,172.2486394,11.60905299,0.096223,9.868394632
2023,LAT,10,PET,48.56572437,3.298653329,0.286885659,14.72289432,169.2859955,11.49814648,0.170718,12.151368
2023,RUN,1,CAR,49.07831565,3.749056589,0.482785247,13.09084418,101.6566185,7.765474636,0.599288,22.41560788
2023,RUN,2,CAR,47.87448743,3.79136248,0.408486533,12.62725147,117.1996714,9.281487083,1.125707,13.44968054
2023,RUN,3,CAR,46.10961818,2.267265586,0.176955089,20.33710495,260.572434,12.81266112,0.804268,35.10014779
2023,RUN,4,CAR,48.44378167,3.251225604,0.299760427,14.90015999,161.6083289,10.84608011,0.422472,14.28908427
2023,RUN,5,CAR,49.59128133,3.594030236,0.353406503,13.7982371,140.3236242,10.16967771,0.858737,14.60025594
2023,RUN,6,CAR,49.58817167,3.54780727,0.330055045,13.97713232,150.242126,10.74913813,0.422472,12.10027229
2023,RUN,7,CAR,47.89577361,2.734225659,0.209267628,17.51712535,228.8733048,13.06568859,0.567445,13.99296435
2023,RUN,8,CAR,47.93288084,2.922094296,0.305190719,16.40360508,157.0587762,9.574649927,0.417574,11.23136646
2023,RUN,9,CAR,48.63088551,3.44799179,0.365198661,14.10411871,133.1628254,9.441414108,0.311539,16.55909443
2023,RUN,10,CAR,47.90525347,3.119378113,0.36792492,15.35730897,130.2038836,8.478300717,0.414335,16.1039272
2023,RUN,1,PET,47.32113833,3.479013053,0.310900785,13.60188582,152.2065579,11.19010701,0.166407,25.11802936
2023,RUN,2,PET,46.68577236,3.684756819,0.389397728,12.6699738,119.8922567,9.462707546,0.084648,20.78430301
2023,RUN,3,PET,47.16674988,3.102188236,0.362868518,15.20434812,129.983031,8.549069643,0.110144,14.65448487
2023,RUN,4,PET,44.78356284,3.665951601,0.316871045,12.21608131,141.330562,11.56922243,0.139306,13.94769368
2023,RUN,5,PET,47.88910714,2.690905642,0.301767291,17.79665046,158.6954868,8.917154781,0.135819,16.1387574
2023,RUN,7,PET,44.7631044,2.76150321,0.221545535,16.20968762,202.0492285,12.46472068,0.081195,8.878154697
2023,RUN,8,PET,45.55261064,3.012115886,0.349254837,15.12312685,130.4280022,8.624407076,0.129139,17.88719891
2023,RUN,9,PET,45.50660626,2.364271129,0.272753592,19.24762591,166.8414556,8.668157637,0.116089,11.76747868
